deutsch,english
Wahl,Choice
genug,enough
Weise,Way
Vater,Father
Bericht,report
amerikanischen,American
hoch,high
beginnt,begins
Wort,Word
obwohl,although
Kopf,Head
spielt,plays
Interesse,interest
Westen,west
verloren,lost
Preis,Price
Erst,First
jedem,each
erreichen,to reach
setzen,set
spricht,speaks
früher,earlier
teilte,shared
Landes,State
zudem,in addition
einzelnen,individual
bereit,ready
Blick,View
Druck,Pressure
Bayern,Bavaria
Kilometer,kilometers
gemeinsam,together
Bedeutung,Meaning
Chance,chance
Politiker,politician
Dazu,In addition
Zwei,Two
besten,best
Ansicht,Opinion
endlich,finally
Stelle,position
direkt,direct
Beim,At the
Bevölkerung,Population
Viele,Many
solchen,such
Alle,All
solle,should
jungen,young
Einsatz,Mission
richtig,correct
größte,largest
sofort,immediately
neuer,newer
ehemaligen,former
unserer,our
dürfte,likely
schaffen,create
Augen,Eyes
Rußland,Russia
Internet,Internet
Allerdings,However
Raum,Space
Mannschaft,team
neun,nine
kamen,came
Ausstellung,Exhibition
Zeiten,Times
Dem,Dem
einzige,only
meine,mine
Nun,Well
Verfahren,Proceedings
Angebot,Offer
Richtung,Direction
Projekt,project
niemand,no one
Kampf,Battle
weder,neither
tatsächlich,actually
Personen,persons
dpa,dpa
Heute,Today
geführt,guided
Gespräch,Conversation
Kreis,Circle
Hamburger,hamburger
Schule,School
guten,good
Hauptstadt,Capital city
durchaus,certainly
Zusammenarbeit,Cooperation
darin,in it
Amt,Government office
Schritt,Step
meist,most
groß,large
zufolge,according to
Sprache,Language
Region,region
Punkte,Points
Vergleich,Comparison
genommen,taken
gleichen,same
du,you
Ob,Whether
Soldaten,soldiers
Universität,university
verschiedenen,different
Kollegen,Colleagues
neues,new
Bürgermeister,mayor
Angst,Fear
stellte,presented
Sommer,Summer
danach,thereafter
anderer,other
gesagt,said
Sicherheit,Security
Macht,Power
Bau,Building
handelt,acts
Folge,Consequence
Bilder,Pictures
lag,lay
Osten,east
Handel,trade
sprach,spoke
Aufgabe,Task
Chef,boss
frei,free
dennoch,nonetheless
DDR,GDR
hohe,height
Firmen,Companies
bzw,or
Koalition,coalition
Mädchen,Girl
Zur,To
entwickelt,developed
fand,found
Diskussion,discussion
bringt,brings
Deshalb,For this reason
Hause,house
Gefahr,Danger
per,by
zugleich,at the same time
früheren,previous
dadurch,through this
ganzen,entire
abend,evening
erzählt,told
Streit,Fight
Vergangenheit,Past
Parteien,parties
Verhandlungen,negotiations
jedenfalls,anyway
gesehen,seen
französischen,French
Trotz,Despite
darunter,including
Spieler,player
forderte,demanded
Beispiel,Example
Meinung,Opinion
wenigen,few
Publikum,audience
sowohl,as well as
meinte,meant
mag,likes
Auto,car
Lösung,Solution
Boden,Floor
Einen,A
Präsidenten,Presidents
hinaus,in
Zwar,That is
verletzt,injured
weltweit,worldwide
Sohn,Son
bevor,before
Peter,Peter
mußten,had to
keiner,none
Produktion,production
Ort,Location
braucht,needs
Zusammenhang,Connection
Kind,child
Verein,Association
sprechen,speak
Aktien,Shares
gleichzeitig,at the same time
London,London
sogenannten,so-called
Richter,Judge
geplant,planned
Italien,Italy
Mittel,Medium
her,her
freilich,of course
Mensch,Person
großer,large
Bonner,Bonn
wenige,few
öffentlichen,public
Unterstützung,Support
dritten,third
nahm,took
Bundesrepublik,Federal Republic
Arbeitsplätze,jobs
bedeutet,means
Feld,Field
Dr.,Dr.
Bank,bank
oben,above
gesetzt,set
Ausland,Abroad
Ministerpräsident,Prime Minister
Vertreter,Representative
z.B.,e.g.
jedes,each
ziehen,pull
Parlament,parliament
berichtete,reported
Dieses,This
China,China
aufgrund,because of
Stellen,Place
warum,Why
Kindern,children
heraus,out of here
heutigen,today
Anteil,Portion
Herr,Mister
Öffentlichkeit,public
Abend,Evening
Selbst,Himself
Liebe,Love
Neben,Next to
rechnen,calculate
fällt,falls
New York,new York
Industrie,industry
WELT,WORLD
Stuttgarter,Stuttgart
wären,would be
Vorjahr,previous year
Sicht,View
Idee,idea
Banken,Banks
verlassen,leave
Leiter,Director
Bühne,stage
insbesondere,in particular
offen,open
stets,always
Theater,theater
ändern,change
entschieden,decided
Staaten,states
Experten,Experts
Gesetz,Law
Geschäft,Business
Tochter,Daughter
angesichts,in view
gelten,apply
Mehr,More
erwarten,expect
läuft,running
fordert,demands
Japan,Japan
Sieg,victory
Ist,Is
Stimmen,Voices
wählen,choose
russischen,Russian
gewinnen,win
CSU,CSU
bieten,offer
Nähe,Vicinity
jährlich,yearly
Bremen,Bremen
Schüler,Pupils
Rede,speech
Funktion,function
Zuschauer,Viewers
hingegen,however
anderes,other
Führung,guide
Besucher,Visitors
Drittel,third
Moskau,Moscow
immerhin,anyway
Vorsitzende,Chairperson
Urteil,Verdict
Schließlich,Finally
Kultur,culture
betonte,emphasized
mittlerweile,in the meantime
Saison,season
Konzept,concept
suchen,seek
Zahlen,Pay
Roman,novel
Gewalt,Violence
Köln,Cologne
gesamte,entire
indem,by
EU,EU
Stunde,Hour
ehemalige,former
Auftrag,Order
entscheiden,decide
genannt,named
tragen,carry
Börse,Stock exchange
langen,long
häufig,frequently
Chancen,Opportunities
Vor allem,Above all
Position,position
alt,old
Luft,Air
Studenten,students
übernehmen,take over
stärker,more
ohnehin,anyway
zeigte,showed
geplanten,planned
Reihe,Row
darum,therefore
verhindern,impede
begann,began
Medien,media
verkauft,sold
Minister,minister
wichtig,important
amerikanische,American
sah,saw
gesamten,entire
einst,once
verwendet,used
vorbei,over
Behörden,authorities
helfen,help
Folgen,Follow
bezeichnet,designated
Weil,Because
Ihnen,Them
zur Zeit,currently
voll,full
deutscher,German
Worten,words
plötzlich,suddenly
müßte,would have to
Vertrag,Contract
Staatsanwaltschaft,Public Prosecutor's Office
Monat,Month
Oder,Or
Herbst,Autumn
Israel,Israel
zahlen,pay
Zeitung,Newspaper
Grenzen,borders
Wissenschaftler,scientist
Partner,partner
Patienten,patients
nutzen,to use
Bund,Federal
setzte,set
Betrieb,Operation
Michael,Michael
beteiligt,involved
Professor,professor
Fernsehen,TV
Künstler,artist
mehreren,several
erinnert,remembers
Liste,list
Möglichkeiten,Possibilities
Autor,author
täglich,daily
eingesetzt,used
Versuch,Attempt
Alter,Old
Autos,cars
Kohl,Cabbage
außer,except
Hoffnung,Hope
Verkauf,sale
nennt,calls
erscheint,appears
führte,led
Prozeß,Process
Täter,Perpetrator
bisherigen,previous
länger,longer
erkennen,recognize
treffen,meet
Kein,No
unser,our
begonnen,started
Antrag,Application
beschäftigt,busy
Opposition,opposition
Maßnahmen,Measures
brachte,brought
nächste,next
Zudem,In addition
gezeigt,shown
Dennoch,Nonetheless
Sinn,sense
Erde,Earth
gefordert,required
Wohnung,Apartment
all,all
Menge,Crowd
gerne,gladly
Hintergrund,background
hören,hear
Deutschlands,Germany's
selten,rarely
Weitere,More
bestätigt,confirmed
bestimmt,certainly
Statt,Instead of
entstehen,arise
nannte,named
schreibt,writes
Union,union
brauchen,need
gewählt,chosen
Kraft,Power
elf,eleven
trägt,carries
zieht,pulls
Grenze,Border
Geschäftsführer,Managing Director
Team,team
Gebäude,Building
Tonnen,tons
Wettbewerb,Competition
Anspruch,Claim
Polen,Poland
morgen,morning
Bremer,Bremen
Wegen,Because of
Gebiet,Area
glaubt,believes
Sa,Sat
Natur,Nature
Arbeiten,Work
jene,those
Fällen,cases
Jahrhundert,century
leisten,afford
Zeitpunkt,time
internationale,international
mein,my
Konkurrenz,competition
nach wie vor,still
nicht einmal,not even
stieg,rose
notwendig,necessary
sogenannte,so-called
fahren,drive
kostet,costs
entsprechenden,corresponding
geplante,planned
geschlossen,closed
Fehler,Mistake
Zweifel,Doubt
Erklärung,Explanation
wiederum,again
erschienen,appeared
gehe,go
Glück,Luck
erfolgreich,successful
fehlt,missing
Gruppen,Groups
Aktion,action
kündigte,announced
meinen,mean
manchmal,sometimes
verschiedene,different
übernommen,taken over
möglichst,if possible
SZ,SZ
lieber,Dear
Vielleicht,Perhaps
Warum,Why
Verantwortung,Responsibility
Gespräche,Discussions
Suche,Search
gern,gladly
fallen,fall
Organisation,organization
Preise,Prices
weitgehend,largely
Basis,base
Computer,computer
aufgenommen,recorded
Schutz,Protection
Eindruck,Impression
fiel,fell
nahe,vicinity
schlecht,bad
lebt,lives
Verhältnis,Relationship
Forderung,Financial support
britischen,British
sozialen,social
Technik,Technology
entstanden,developed
Vorstand,board
verantwortlich,responsible
of,of
bestimmten,certain
jüngsten,youngest
geboren,born
erhält,receives
wobei,where
Gegner,Opponent
Gründen,Found
Material,material
Spitze,Great
Gewinn,Profit
Punkten,Points
vertreten,represent
Schulen,Schools
Studie,study
Zeichen,Sign
gewonnen,won
Kurs,course
Washington,Washington
Türkei,Türkiye
Erfahrungen,Experiences
wirkt,works
Armee,army
erhielt,received
beginnen,start
bißchen,a little
entfernt,removed
vorgesehen,planned
Ergebnisse,Results
zahlreiche,numerous
entgegen,in contrast to
Ohne,Without
hielt,held
privaten,private
sucht,seeks
Gemeinde,Community
Antwort,Answer
Zentrum,center
bilden,form
legen,place
Schweiz,Switzerland
gemeinsamen,common
weg,away
teilweise,partially
Großbritannien,Great Britain
Licht,Light
Hannover,Hanover
Produkte,Products
Stimme,Agree
diesmal,this time
Schluß,Ending
gingen,go
angeboten,offered
Gesicht,Face
Treffen,Meet
Nachdem,After
ließen,let
eröffnet,opened
versuchen,attempt
Konzern,Group
Leistungen,Services
Gäste,Guests
Wohnungen,Apartments
möglicherweise,possibly
Dafür,For that
wichtige,important
Neue,New
Rund,Around
zog,pulled
geraten,advised
Bewegung,Movement
Gegen,Against
nötig,necessary
Mitglied,Member
hundert,hundred
Düsseldorf,Düsseldorf
PDS,PDS
wahrscheinlich,probably
Danach,Thereafter
vermutlich,allegedly
selber,himself
ständig,constant
Senat,senate
Branche,Industry
Journalisten,journalists
enthält,contains
laufen,run
Vom,From the
Straßen,streets
Einführung,introduction
arbeitet,works
verlangt,required
Werke,factories
Insgesamt,In total
Runde,round
Besuch,Visit
unterstützt,supports
Manager,manager
Brüssel,Brussels
de,de
schweren,heavy
sitzt,sits
geschrieben,written
jemand,someone
französische,French
Bereits,Already
Wachstum,growth
taz,taz
bestimmte,particular
Drei,Three
Freiheit,Freedom
entsprechende,corresponding
kennt,knows
Band,band
Arbeitgeber,Employer
glauben,believe
Wege,Paths
verurteilt,sentenced
tritt,occurs
Volk,People
Pläne,Plans
R,R
angekündigt,announced
Satz,Sentence
sitzen,sit
Vorschlag,Suggestion
rechnet,calculates
muss,must
erhöht,increased
Investitionen,Investments
Aufgaben,Tasks
warten,wait
entdeckt,discovered
wichtigsten,most important
Heimat,Hometown
verstehen,understand
schrieb,wrote
trotzdem,despite it
erfahren,experience
Unternehmens,company
frühere,previous
bekommt,receives
Jugendlichen,youth
Dinge,Things
öffentliche,public
Institut,Institute
Wirkung,Effect
sorgen,care for
trifft,hits
reden,talk
Werte,Values
Forscher,researchers
Wo,Where
Sitzung,meeting
zusätzlich,additionally
vielmehr,rather
Anlaß,Occasion
Beide,Both
gehalten,held
Tel.,Tel.
Schweizer,Swiss
beschlossen,decided
Serben,Serbs
Bundestag,Bundestag
Verwaltung,Administration
vorher,previously
automatisch,automatically
betont,emphasizes
Leistung,Performance
abgeschlossen,completed
Obwohl,Although
zufrieden,satisfied
Beschäftigten,Employees
Papier,Paper
Thomas,Thomas
Verbindung,Connection
Sinne,senses
ziemlich,quite
Debatte,debate
enthalten,contain
ausschließlich,exclusively
bestehen,consist
Flüchtlinge,Refugees
Jugendliche,youth
Freund,Friend
A,A
Themen,Topics
überall,everywhere
droht,threatens
Gewerkschaften,Trade unions
Bedingungen,Conditions
Beziehungen,Relationships
Text,text
europäische,European
Punkt,Point
Erfahrung,Experience
The,The
I,I
Außenminister,Foreign Minister
soziale,social
russische,Russian
Tisch,Table
Republik,republic
höher,higher
reicht,suffices
Million,million
gehabt,had
politisch,politically
folgen,consequences
ähnlich,similar
geschaffen,created
Schaden,Damage
erster,first
Körper,Body
Amerikaner,American
getötet,killed
Einige,Some
Frieden,Peace
zählt,count
Beteiligung,participation
Wagen,Dare
Bahn,Train
vergessen,forget
Verlust,Loss
Tiere,Animals
Museum,museum
gegründet,founded
daraus,from this
Start,start
Kontrolle,control
Einfluß,Influence
Österreich,Austria
Allein,Alone
Norden,north
Wunsch,Wish
manche,some
Wahlen,Choose
Reise,Trip
steigen,climb
gemeinsame,common
Darstellung,Depiction
Demokratie,democracy
König,king
England,England
nennen,to name
Teile,parts
Jahrhunderts,century
denken,think
Name,name
Lehrer,Teacher
S.,S.
laufenden,ongoing
verbunden,tied together
Qualität,Quality
zusätzliche,additional
Widerstand,Resistance
schön,nice
Spanien,Spain
gegangen,gone
Beamten,civil servants
Jeder,Everyone
Europas,Europe
Freunde,Friends
mitteilte,announced
erklären,explain
Familien,Families
Gerade,Straight
gefallen,fallen
Aktie,share
Krise,crisis
Baden-Württemberg,Baden-Württemberg
Nummer,number
wies,pointed
außerhalb,outside
gestiegen,increased
Reform,reform
Literatur,literature
Arbeitslosigkeit,unemployment
Lebens,Life
Sozialdemokraten,Social Democrats
gewann,won
Moment,moment
angeblich,allegedly
entsprechend,accordingly
Mill,Mill
weiteres,further
beträgt,amounts
dritte,third
wesentlich,significant
Amerika,America
Insel,Island
britische,British
Nachfolger,successor
entspricht,corresponds
dahin,there
unseren,our
solcher,such
Juden,Jews
Sport,sport
Rathaus,City hall
verkaufen,sell
größere,larger
Frühjahr,spring
gebaut,built
Wahrheit,Truth
dar,that
Kommission,Commission
Polizisten,police officers
Bosnien,Bosnia
offensichtlich,apparently
Grundlage,basis
relativ,relative
Nein,No
Klasse,Class
tut,does
hängt,depends
wenigstens,at least
aktuellen,current
Modell,Model
Herstellung,Production
hinzu,in
Gedanken,Thoughts
Übernahme,takeover
entwickeln,develop
Quartal,quarter
meiner,my
dürften,likely
Keine,No
jener,that
Zustimmung,approval
legt,lays
fordern,demand
Einheit,Unit
Natürlich,Naturally
blieben,remained
Laut,Loud
in Zukunft,in the future
Szene,scene
Klaus,Klaus
Bundeskanzler,Federal Chancellor
Schwierigkeiten,difficulties
geblieben,remained
lesen,read
Besonders,Particularly
getroffen,met
keineswegs,not at all
Abschluß,Diploma
Verlag,Publisher
Interessen,interests
Netz,network
anschließend,afterward
Plan,plan
Ausbildung,Training
befindet,are
zunehmend,increasingly
verzichten,waive
gespielt,played
ermittelt,determined
legte,lay
Ruhe,Quiet
Hans,Hans
Händler,dealers
genutzt,used
höhere,higher
starke,strength
treten,step
Veranstaltung,Event
Stimmung,Mood
Ärzte,Doctors
erheblich,significant
standen,stood
Teilnehmer,Participant
möchten,want
starken,strengthen
Forderungen,demands
Stand,Status
Anlage,Attachment
siehe,see
erfolgt,is
Vertrieb,distribution
beste,best
gelungen,succeeded
Ordnung,Order
Andreas,Andreas
lautet,is
kritisiert,criticized
Schröder,Schröder
machten,made
verstärkt,reinforced
Süden,south
Haltung,attitude
freien,free
weist,points
nahezu,almost
Motto,motto
abgelehnt,rejected
gelang,succeed
gezogen,pulled
frühen,early
schreiben,write
aufs,on
gleiche,same
öffentlich,public
Häuser,houses
kleiner,smaller
folgt,follows
Einer,One
Ja,Yes
Wien,Vienna
möglichen,possible
weiterer,further
kaufen,buy
Gefühl,Feeling
wirtschaftlichen,economic
Initiative,initiative
hofft,hopes
dürfe,may
Person,person
Telekom,Telekom
kennen,know
interessiert,interested
Beitrag,Contribution
Geschäftsjahr,fiscal year
lernen,learn
gefragt,asked
bezeichnete,designated
Meister,Master
Bücher,books
kürzlich,recently
Tradition,tradition
einzelne,individual
Vorsitzender,Chairman
Verband,Association
Grüne,Greens
überzeugt,convinced
Rückkehr,return
Also,So
schwere,heavy
falsch,incorrect
unten,below
behandelt,treated
indes,however
großes,large
Worte,words
getan,did
Vorstellung,Performance
somit,thus
langsam,slow
Wählen,Choose
gedacht,thought
geändert,changed
Bisher,Until now
hervor,out
Hessen,Hesse
Städte,cities
unbedingt,absolutely
Hotel,hotel
Artikel,Article
tätig,employed
zahlreichen,numerous
Geburtstag,Birthday
gesprochen,spoken
schließen,close
Engagement,engagement
Alles,Everything
Gründe,Reasons
erlaubt,allowed
Kl.,Kl.
Ausländer,Foreigner
Anleger,investors
größer,larger
verlieren,lose
Verhalten,Behave
ausgesprochen,pronounced
fanden,found
Betriebe,Businesses
Praxis,Practice
ums,about
galt,was
Gemeinden,communities
Wolfgang,wolfgang
Kanzler,Chancellor
Viertel,Quarter
private,private
Zustand,Condition
miteinander,each other
genauso,just as
präsentiert,presents
Planung,planning
Forschung,Research
staatlichen,state
Gott,God
einzigen,single
wichtigen,important
kosten,cost
Verkehr,Traffic
befinden,condition
Kauf,purchase
Vorstellungen,Performances
Halle,hall
Untersuchung,Investigation
s,s
Rom,Rome
bessere,better
unserem,our
jeweiligen,each
angelegt,created
beendet,finished
Fälle,cases
Einschätzung,assessment
stehe,stand
Dienst,service
herrscht,prevails
Begriff,Expression
Sekunden,seconds
Essen,Eat
ans,to
erfüllt,fulfilled
Krankenhaus,hospital
Auskunft,Information
bauen,build
Rechnung,The invoice
Arbeitnehmer,Employees
endgültig,finally
Truppen,troops
Jungen,boys
Aufbau,Construction
leider,unfortunately
verpflichtet,obligated
Auffassung,opinion
komme,come
Karriere,career
bezahlen,pay
Telefon,phone
Rest,rest
Umwelt,Environment
schlägt,strikes
bewußt,consciously
wichtiger,important
Sonne,Sun
trat,stepped
Inzwischen,In the meantime
gelangen,reach
schneller,faster
Kandidaten,candidates
Brief,letter
folgenden,the following
erscheinen,appear
wirtschaftliche,economic
Nr.,No.
Fahrer,driver
erforderlich,necessary
Rennen,Run
Nachfrage,demand
Morgen,Morning
Verdacht,Suspicion
eigener,own
Hinweis,Notice
Umgebung,Vicinity
bestätigte,confirmed
Regelung,control
Fenster,Window
dienen,serve
modernen,modern
zuständig,responsible
Flughafen,Airport
Generation,generation
gelegt,laid
ergeben,result
nationalen,national
Waffen,weapons
Schicksal,Fate
Entscheidungen,decisions
Jugend,youth
Niederlage,defeat
Spaß,Fun
Niveau,level
Gelände,terrain
Trend,trend
heißen,be called
Tatsache,fact
Presse,press
Feuer,Fire
bezahlt,paid
Förderung,Financial support
Ganz,Quite
Bildung,Education
vorstellen,introduce
grundsätzlich,basically
voller,full
Winter,winter
italienischen,Italian
Botschaft,Message
Investoren,Investors
Grad,degree
Geschäfte,shops
Leser,reader
spielte,played
bayerischen,Bavarian
erzielt,achieved
reichen,are sufficient
Einrichtung,Furnishings
Energie,energy
Gelegenheit,Opportunity
regelmäßig,regularly
übertragen,transmitted
Freude,Joy
verändert,changed
Umgang,Handling
Fans,Fans
entweder,either
Dauer,Length of time
Finanzierung,financing
Hersteller,Manufacturer
Größe,Size
eingestellt,set
Kontakt,contact
früh,early
ursprünglich,originally
m,m
Prinzip,principle
Ausdruck,Expression
definieren,define
Mittelpunkt,center
Wunder,Wonder
eindeutig,clearly
Quadratmeter,square meter
Mitarbeitern,employees
Behandlung,Treatment
größeren,larger
Nachbarn,Neighbors
Gleichzeitig,At the same time
Schriftsteller,writer
Himmel,Heaven
hoffen,hope
